Piece Title,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Overall Quality,Soundcloud Link,TV PLACEMENT YES: TARGET
Sled Run,"Score, Orchestral, Christmas",A short and exciting little christmas build,160,B,4/4,Ionian,0:45,"Orchestra, Violins, String Section, Horns, Celeste, Flute","christmas, xmas, christmastree, christmasdecor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Christmas, Shopping, Black Friday, Presents, Gifts, Christmas Tree, Candles, Feast, Mall, Mega Tree, Tree Lighting, Reveal, Big Moment, ","Cheerful, Happy, Cute, Festive, Joyful, Energetic, Excited, Fun, Playful","Special Occasion, Holiday, Romance, Romantic Comedy",5,,1
Tree Lighting,"Score, Orchestral, Christmas","A short, cheerful christmas themed 'reveal' type build.",160,D,4/4,Ionian,0:36,"Orchestra, Violins, String Section, Horns, Celeste, Flute","christmas, xmas, christmastree, christmasdecor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Christmas, Shopping, Black Friday, Presents, Gifts, Christmas Tree, Candles, Feast, Mall, Mega Tree, Tree Lighting, Reveal, Big Moment, ","Cheerful, Happy, Cute, Festive, Joyful, Energetic, Excited, Fun, Playful","Special Occasion, Holiday, Romance, Romantic Comedy",5,,1
The Glowing Forest - Potion,"Videogame, Score",Dramatic and magical stinger / bumper clip,64,Gm,6/8,Aeolian,0:34,"Orchestra, Flute, Strings, Percussion, Bass Drum, Music Box","Magic, Forest, Potion, Dreaming, Dreamland, Sleepy, Peter Pan, Neverland, ","Magical, Relaxed, Calm, Content, Hopeful, Laidback, Whimsical","Medieval, Animation, Fantasy, Romance, Video Game",3,,0
Aquiver,"Logo, Bumper",A short corporate intro stinger or bumper piece,129,Db,4/4,Ionian,0:32,"Synth, Strings, Horn, Harp","Corporate, Intro, Introduction, Stinger, Bumper, Logo, Sound Logo, Corporation, innovative, innovation, inspirational, inspiration, inspire, short, miniature, mini, commercial, advertisement, ad, acoustic","inspirational, cheerful, dreamy, epic, hopeful, inspirational, intrigued, pleasant, positive, smooth, uplifting","broadcast/news, builds, game show, talk show",3,,0
Satellite Fragger,Videogame,"Synthy, explosive sci-fi intro stinger",155,Gm,4/4,Phrygian,0:24,"Synthesizer, orchestra, percussion, strings","Aliens, space, sci-fi, science fiction, phrygian, terror, stinger, intro, introduction, helicopter, dramatic, shock horror, supervillain, superhero, marvel, dc comics, comic, action, weapon, laser, attack, space ship, space craft, ufo, flying saucer, game, gaming, video game, spy, 007, james bond","aggressive, dark, epic, ominous, suspenseful, tense, strong","sci-fi, horror/thriller, video game, action",5,,0
Timeline Drift,Videogame,"Synthy, sci-fi intro stinger with quarter-tone drift",143,Am,4/4,Aeolian,0:21,"Strings, synth, synth bass","sci-fi, science fiction, planet, space, aliens, introduction, intro, stinger, bumper, game, video game, videogame, gamey, gamer, space ship, ufo, flying saucer, jungle, volcano, eerie, weird, out of tune, detuned, quarter tone, time travel, dimension","dark, epic, ominous, suspenseful, tense, eerie, brooding, mysterious, ominous ","sci-fi, horror/thriller, video game",5,,0
Bubble Universe,Videogame,Tropical alien sci-fi intro stinger,80,Eb,4/4,Aeolian,0:18,"Synth, Synth Bass, Hang Drum, ","Aliens, space, sci-fi, science fiction, phrygian, terror, stinger, intro, introduction, helicopter, dramatic, shock horror, supervillain, superhero, marvel, dc comics, comic, action, weapon, laser, attack, space ship, space craft, ufo, flying saucer, game, gaming, video game, spy, 007, james bond","tropical, alien, sci-fi, scifi, weird, planet, space ship, island, beach","sci-fi, horror/thriller, video game",5,,0
Core Ignition,EDM,,,,,,,,,,,2,,0
Don't Move a Muscle,Horror,,,,,,,,,,,4,,0
Megapulse,Tension,,,,,,,,,,,4,,0
Substatic Flow,Horror,,,,,,,,,,,4,,0
There Used To Be Joy,Horror,,,,,,,,,,,4,,0
We Don't Want You Here,Horror,,,,,,,,,,,4,,0
I See You've Encountered My Stalker,Dramedy,,,,,,,,,,,5,,0
Paper Route,Dramedy,,,,,,,,,,,5,,0
You're a Sneaky Girl,Dramedy,,,,,,,,,,,5,,0
Ouroboros,Dramedy,,,,,,,,,,,5,,0
Generations,EDM,,,,,,,,,,,3,,0
Vault,EDM,,,,,,,,,,,4,,0
Productivity,Hip Hop,,,,,,,,,,,3,,0
Safe Together,EDM,,,,,,,,,,,3,,0
Cheerful Fluff,Dramedy,,,,,,,,,,,4,,0
Bubbles,EDM,,,,,,,,,,,5,,0
Mini Pulse,Pop,,,,,,,,,,,4,,0
Dromedary Air,Dramedy,,,,,,,,,,,5,,0
Rotoscope,EDM,,,,,,,,,,,4,,0
Quirky 808,Hip Hop,,,,,,,,,,,4,,0
Im Ur Puppy,Hip Hop,,,,,,,,,,,3,,0
Tropical Mini,EDM,,,,,,,,,,,3,,0
She's a Devil,Hip Hop,,,,,,,,,,,4,,1
Gray Static Bed,Tension,,,,,,,,,,,4,,0
Purple Uncertainty,Tension,,,,,,,,,,,4,,0
I Don't Feel Swell,Tension,,,,,,,,,,,4,,0
Survived the Winter,Score,,,,,,,,,,,5,,0
Snowfall,Pop,,,,,,,,,,,4,,1
My Mother Would Love This,Score,,,,,,,,,,,5,,0
The Little Red Hen,Pop,,,,,,,,,,,5,,0
Gold Swell,Score,,,,,,,,,,,4,,0
Sunshine,Score,,,,,,,,,,,4,,0
Happy Ending,Score,,,,,,,,,,,4,,0
California Jingle Bells,Christmas,,,,,,,,,,,3,,0
Hark the Double Barreled,Christmas,,,,,,,,,,,3,,0
Deck the Ballers,Christmas,,,,,,,,,,,3,,0
Jingle Baller,Christmas,,,,,,,,,,,3,,0
Christmas Gift,Christmas,,,,,,,,,,,5,,0
Christmas Spirit,Christmas,,,,,,,,,,,5,,0
Married Christmas,Christmas,,,,,,,,,,,5,,0
Frosty Fantasia,Christmas,,,,,,,,,,,5,,0
Christmas Bounce,Christmas,,,,,,,,,,,5,,0
Northern Light Fantasy,Christmas,,,,,,,,,,,5,,0
Leave You Like That,Pop,,,,,,,,,,,2,,0
Slow Echo,EDM,,,,,,,,,,,3,,0
Cycle 68,EDM,,,,,,,,,,,3,,0
Floot Loops,EDM,,,,,,,,,,,3,,0
Thunder Crystal,EDM,,,,,,,,,,,3,,0
Maui,EDM,,,,,,,,,,,3,,0
Blood Sport's Alive and Well,Rock,,,,,,,,,,,5,,0
Acquiescence,Score,,,,,,,,,,,4,,0
Fallout,Score,,,,,,,,,,,4,,0
Shining Bright,Score,,,,,,,,,,,4,,0
I'm Not Sure,Hip Hop,,,,,,,,,,,4,,0
Please Come Through,Hip Hop,,,,,,,,,,,3,,0
Industrious,Hip Hop,,,,,,,,,,,3,,0
Demon of the Depths,Score,,,,,,,,,,,4,,0
Iron Nautilus,Score,,,,,,,,,,,4,,0
On The Prowl,Score,,,,,,,,,,,5,,0
Eternal Tides,Ambient,,,,,,,,,,,4,,0
Deep Waters,Ambient,,,,,,,,,,,4,,0
Jellyfish Flow,Ambient,,,,,,,,,,,4,,0
Should Have Been A Love Song,Pop,,,,,,,,,,,3,,0
Who Took the Cookie,Dramedy,,,,,,,,,,,4,,0
In the Hall of the Mountain Bling,Hip Hop,,,,,,,,,,,5,,0
The Villain Saved the World,Pop,,,,,,,,,,,5,,0
Summer Trip,Pop,,,,,,,,,,,4,,0
Squish the Bunny,Dramedy,,,,,,,,,,,5,,0
That Didn't Happen,Dramedy,,,,,,,,,,,5,,0
My Tinkerbell,Pop,,,,,,,,,,,3,,0
Beacon Glare,EDM,,,,,,,,,,,5,,0
In Desperate Need,Tension,,,,,,,,,,,3,,0
Black Magic Spell,Tension,,,,,,,,,,,4,,0
Pitch Black Lagoon,Tension,,,,,,,,,,,4,,0
Rollercoaster Ride,Pop,,,,,,,,,,,5,,0
Ooh a Chase,Horror,,,,,,,,,,,3,,0
Psycho Killer's Fridge,Horror,,,,,,,,,,,4,,0
Can You Hear my Wingbeat,Pop,,,,,,,,,,,5,,0
Bling and You Might Miss It,Hip Hop,,,,,,,,,,,4,,0
Lo-Fi Swoosh (Let You Go),Hip Hop,,,,,,,,,,,3,,0
Don't Breathe He'll Hear You,Horror,,,,,,,,,,,4,,0
Mischief Night,Rorror,,,,,,,,,,,4,,0
You Better Run,Horror,,,,,,,,,,,4,,0
Go Pluck Yourself,Hip Hop,,,,,,,,,,,4,,0
Opium Den,Hip Hop,,,,,,,,,,,5,,0
Pueblo,Hip Hop,,,,,,,,,,,5,,0
Pulsar Unlimited,Hip Hop,,,,,,,,,,,5,,0
Winter Waltz,Christmas,,,,,,,,,,,4,,0
